x,Pv
0.0027619805142230325,3.808720099842392e-05
0.002781135259012294,3.841468228602582e-05
0.0028004228447995466,3.8746721390225785e-05
0.0028198441928568275,3.908338174300795e-05
0.0028394002308453313,3.9424727659139975e-05
0.0028590918928597217,3.977082434825537e-05
0.0028789201194727473,4.012173792771828e-05
0.002898885857780167,4.0477535439799675e-05
0.0029189900614459917,4.083828486137317e-05
0.0029392336907480316,4.120405509766174e-05
0.002959617712623767,4.157491602280179e-05
0.0029801431007165334,4.195093848412705e-05
0.0030008108354220267,4.233219431492864e-05
0.003021621903935133,4.2718756347949786e-05
0.0030425773002970805,4.311069842958817e-05
0.003063678025442922,4.350809543383694e-05
0.0030849250872493432,4.391102327652063e-05
0.0031063195005828037,4.431955892994689e-05
0.003127862287348013,4.473378043739036e-05
0.003149554476536741,4.515376692829942e-05
0.003171397104276969,4.5579598633315355e-05
0.0031933912138823756,4.601135689918865e-05
0.0032155378559021886,4.644912420485576e-05
0.0032378380881713264,4.689298417694884e-05
0.003260292975860977,4.7343021605666695e-05
0.003282903591529421,4.7799322461260975e-05
0.0033056710151733184,4.826197391016302e-05
0.003328596334279238,4.873106433170496e-05
0.0033516806438756565,4.920668333507564e-05
0.0033749250465852083,4.968892177624841e-05
0.003398330652677405,5.017787177563054e-05
0.0034218985801216257,5.067362673551907e-05
0.003445629954640538,5.1176281357552944e-05
0.003469525909763864,5.1685931661417716e-05
0.003493587586882521,5.220267500277889e-05
0.003517816135303143,5.2726610092137444e-05
0.0035422127123029747,5.3257837022475204e-05
0.003566778483185152,5.379645727748837e-05
0.00359151462133436,5.4342573731287274e-05
0.00361642230827288,5.489629070265986e-05
0.0036415027337170273,5.5457713963208407e-05
0.0036667570956339757,5.602695075645986e-05
0.003692186600298979,5.6604109818166986e-05
0.0037177924623529885,5.7189301396739235e-05
0.003743575904860672,5.778263727494126e-05
0.0037695381593688313,5.8384230790715764e-05
0.0037956804659652283,5.8994196858958474e-05
0.003822004073337817,5.961265199375366e-05
0.0038485102388343896,6.023971433008882e-05
0.0038752002285226293,6.0875503646746435e-05
0.0039020753172505887,6.152014138909887e-05
0.00392913678870758,6.217375069219843e-05
0.00395638593548549,6.283645640454043e-05
0.0039838240591405245,6.35083851116945e-05
0.004011452470255374,6.418966516017788e-05
0.004039272488501813,6.488042668262645e-05
0.004067285442703737,6.558080162204093e-05
0.004095492670900633,6.629092375716645e-05
0.004123895520411489,6.701092872834499e-05
0.0041524953478991496,6.774095406278628e-05
0.004181293519435121,6.848113920124914e-05
0.004210291410564814,6.923162552453695e-05
0.004239490406373252,6.999255638041952e-05
0.004268891901551232,7.076407711122684e-05
0.004298497300461934,7.154633508164949e-05
0.004328308017208008,7.233947972101912e-05
0.0043583254756991135,7.31436625304864e-05
